rank,company_name,symbol,mkt_cap,country,flag_public_mining,downloaded_filings
97,Standard Lithium,SLI,863436480,Canada,1,40-F
98,SilverCrest Metals,SILV,783197888,Canada,1,40-F
99,Coeur Mining,CDE,761149632,United States,1,10-K
100,Nexa Resources,NEXA,735036480,Luxembourg,1,20-F
101,Fortuna Silver Mines,FSM,662620480,Canada,1,40-F
102,Gujarat Mineral Development,GMDCLTD.NS,658377421,India,1,NO-SEC-FILING
103,New Found Gold,NFGC,618120896,Canada,1,40-F
104,Endeavour Silver,EXK,534753760,Canada,1,40-F
105,Maverix Metals,MMX,509322400,Canada,1,40-F
106,DRDGOLD,DRD,470170848,South Africa,1,20-F
107,Patriot Battery Metals,PMET.V,457382197,Canada,1,NO-SEC-FILING
108,American Battery Technology Company,ABML,440686816,United States,1,10-K
109,MOIL,MOIL.NS,433198240,India,1,NO-SEC-FILING
110,New Pacific Metals,NEWP,404458048,Canada,1,40-F
111,Arizona Metals,AMC.V,386952890,Canada,1,NO-SEC-FILING
112,Nouveau Monde Graphite,NMG,338948384,Canada,1,40-F
113,PolyMet,PLM,329780736,Canada,1,"20-F, 40-F"
114,NACCO Industries,NC,313202368,United States,1,10-K
115,Taseko Mines,TGB,290445568,Canada,1,"20-F, 40-F"
116,Argonaut Gold,AR.TO,268771522,United States,1,NO-SEC-FILING
117,Marathon Gold,MOZ.TO,267358007,Canada,1,NO-SEC-FILING
118,Hallador Energy Company,HNRG,217685152,United States,1,10-K
119,Gatos Silver,GATO,194267936,United States,1,10-K
120,Western Copper and Gold,WRN,193885824,Canada,1,"20-F, 40-F"
121,Northern Dynasty Minerals,NAK,155828448,Canada,1,"20-F, 40-F"
122,McEwen Mining,MUX,146550352,Canada,1,10-K
123,Hycroft Mining,HYMC,143793360,United States,1,10-K
124,Platinum Group Metals,PLG,137205168,Canada,1,"20-F, 40-F"
125,Tanzanian Gold Corporation,TRX,132935944,Canada,1,20-F
126,Prakash Industries,PRAKASH.NS,132878809,India,1,NO-SEC-FILING
127,Americas Gold and Silver Corp,USAS,79588568,Canada,1,40-F
128,Sierra Metals,SMTS,74843552,Canada,1,40-F
129,Vista Gold,VGZ,66150560,United States,1,10-K
130,Avino Silver &amp; Gold Mines,ASM,60924692,Canada,1,20-F
131,Petropavlovsk,POG.L,54701538,United Kingdom,1,NO-SEC-FILING
132,Silver One Resources,SVE.V,48027963,Canada,1,NO-SEC-FILING
133,Golden Minerals,AUMN,43514536,United States,1,10-K
134,Comstock Mining,LODE,41730924,United States,1,10-K
135,Brazil Minerals,BMIX,39534748,Brazil,1,10-K
136,Great Panther Mining,GPL,38185764,Canada,1,"20-F, 40-F"
137,Solitario Zinc,XPL,36309444,United States,1,10-K
138,Orosur Mining,OMI.V,33037144,Canada,1,NO-SEC-FILING
139,U.S. Gold Corp,USAU,30142922,United States,1,10-K
140,Austin Gold,AUST,20704008,United States,1,NO-SEC-FILING
141,Trillium Gold Mines,TGM.V,8653588,Canada,1,NO-SEC-FILING
